Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
1,Duke,ACC,8,5,.615,6,2,.750,34.0,28.7,7.19,2.73,,,,
2,Virginia,ACC,10,3,.769,7,1,.875,32.2,20.5,10.36,0.59,20,,12,
3,Miami (FL),ACC,10,2,.833,6,2,.750,34.1,13.8,19.09,4.09,10,10,2,
4,Georgia Tech,ACC,9,3,.750,6,2,.750,33.1,25.0,8.50,1.16,24,,7,
5,Pitt,ACC,8,4,.667,6,2,.750,35.1,24.9,9.70,2.70,,,23,
6,SMU,ACC,8,4,.667,6,2,.750,32.9,20.7,10.59,1.17,,16,16,
7,Louisville,ACC,8,4,.667,4,4,.500,30.2,21.1,9.25,2.59,,,14,
8,Wake Forest,ACC,8,4,.667,4,4,.500,26.8,21.5,5.09,0.26,,,,
9,California,ACC,7,5,.583,4,4,.500,24.8,26.5,-0.49,-0.24,,,,
10,Clemson,ACC,7,5,.583,4,4,.500,28.7,20.4,7.30,1.21,,4,4,
11,North Carolina State,ACC,7,5,.583,4,4,.500,30.2,28.8,6.12,5.53,,,,
12,Stanford,ACC,4,8,.333,3,5,.375,18.8,29.2,-2.85,5.81,,,,
13,Florida State,ACC,5,7,.417,2,6,.250,33.0,22.0,6.16,3.33,,,7,
14,North Carolina,ACC,4,8,.333,2,6,.250,19.3,24.5,-5.70,-0.12,,,,
15,Virginia Tech,ACC,3,9,.250,2,6,.250,21.4,30.2,-3.08,5.92,,,,
16,Syracuse,ACC,3,9,.250,1,7,.125,20.2,34.9,-6.26,5.41,,,,
17,Boston College,ACC,2,10,.167,1,7,.125,25.4,32.8,-5.27,3.15,,,,
18,Tulane,American,11,2,.846,7,1,.875,29.1,22.6,7.75,0.21,17,,17,
19,North Texas,American,11,2,.846,7,1,.875,44.8,24.9,10.12,-3.19,23,,20,
20,Navy,American,10,2,.833,7,1,.875,31.2,26.0,5.05,-1.28,22,,22,
21,South Florida,American,9,3,.750,6,2,.750,43.0,23.3,12.53,-0.89,,,18,
22,East Carolina,American,8,4,.667,6,2,.750,33.5,20.3,6.40,-2.27,,,,
23,Memphis,American,8,4,.667,4,4,.500,34.6,22.5,7.11,-2.97,,,22,
24,Army,American,6,6,.500,4,4,.500,22.4,22.1,-2.12,-2.62,,,,
25,UTSA,American,6,6,.500,4,4,.500,33.8,29.6,2.04,-0.87,,,,
26,Temple,American,5,7,.417,3,5,.375,27.8,29.7,-5.42,-1.67,,,,
27,Florida Atlantic,American,4,8,.333,3,5,.375,29.5,36.3,-6.45,-1.11,,,,
28,Rice,American,5,7,.417,2,6,.250,19.8,32.3,-8.10,-1.27,,,,
29,UAB,American,4,8,.333,2,6,.250,26.4,38.3,-10.85,-0.93,,,,
30,Tulsa,American,4,8,.333,1,7,.125,23.2,28.9,-8.91,-3.99,,,,
31,Charlotte,American,1,11,.083,0,8,.000,14.3,36.3,-18.08,0.76,,,,
32,Utah,Big 12,10,2,.833,7,2,.778,41.1,18.7,17.81,2.98,15,,13,
33,Arizona,Big 12,9,3,.750,6,3,.667,32.6,18.9,12.61,2.69,21,,21,
34,Houston,Big 12,9,3,.750,6,3,.667,28.3,21.8,7.59,0.84,,,22,
35,Arizona State,Big 12,8,4,.667,6,3,.667,24.7,23.0,8.90,5.40,,11,11,
36,Cincinnati,Big 12,7,5,.583,5,4,.556,31.8,24.8,5.92,3.00,,,17,
37,UCF,Big 12,5,7,.417,2,7,.222,24.3,23.6,0.75,2.33,,,,
38,Colorado,Big 12,3,9,.250,1,8,.111,20.9,30.5,-0.68,6.40,,,,
39,Texas Tech,Big 12,12,1,.923,8,1,.889,42.5,10.9,23.52,2.14,4,23,4,
40,BYU,Big 12,11,2,.846,8,1,.889,31.9,19.0,16.40,6.56,12,,8,
41,Iowa State,Big 12,8,4,.667,5,4,.556,27.4,20.2,9.49,3.49,,22,12,
42,Texas Christian,Big 12,8,4,.667,5,4,.556,30.8,25.2,8.60,3.43,,,24,
43,Kansas State,Big 12,6,6,.500,5,4,.556,29.4,26.7,5.61,4.11,,17,17,
44,Baylor,Big 12,5,7,.417,3,6,.333,31.1,32.6,2.89,4.89,,,,
45,Kansas,Big 12,5,7,.417,3,6,.333,28.1,26.8,3.79,4.71,,,,
46,West Virginia,Big 12,4,8,.333,2,7,.222,21.8,30.8,-0.66,6.26,,,,
47,Oklahoma State,Big 12,1,11,.083,0,9,.000,14.2,33.3,-8.22,5.28,,,,
48,Indiana,Big Ten,13,0,1.000,9,0,1.000,41.9,10.8,22.74,4.59,1,20,1,
49,Ohio State,Big Ten,12,1,.923,9,0,1.000,34.9,8.2,23.73,4.81,3,3,1,
50,Oregon,Big Ten,11,1,.917,8,1,.889,38.2,14.8,19.31,3.90,5,7,2,
